status,cert_num,url,company_num,name,address,location,valid_from,valid_to,scope,body,notes
active,URS 014611/B-0049,http://certyfikaty.kzr.inig.eu/public/certs/3341.pdf,1553/7999/DD/22,ARTOUR Energy a.s.,"Czechy, 10600 Praha, Ke Skalkám 3249/22","1.Czechy, 10600 Praha, Ke Skalkám 3249/22 ;2.Czechy, 50724 Dětenice, Dětenice 1",2022-09-26,2023-09-25,FGP of crops with storage; FGP of other wate/residue without storage; biogas plant; heat and/or electricity producer,United Registrar of Systems Polska Sp. z o.o.,
active,SGS/KZR/0272,http://certyfikaty.kzr.inig.eu/public/certs/3333.pdf,675/7999/DD/17,GasOil Sp. z o.o.,"Polska, 15-424 Białystok, Lipowa 19/21",N/A,2022-09-25,2023-09-24,trading without storage,SGS Polska Sp. z o. o.,
active,DEKRA-710914001/8,http://certyfikaty.kzr.inig.eu/public/certs/3331.pdf,2/7999/DD/14,LOTOS Biopaliwa Sp. z o.o.,"Polska, 43-502 Czechowice-Dziedzice, ul. Łukasiewicza 2","Polska, 43-502 Czechowice-Dziedzice, ul. Łukasiewicza 2",2022-09-23,2023-09-22,,DEKRA Certification Sp. z o. o.,
active,DEKRA-710922089,http://certyfikaty.kzr.inig.eu/public/certs/3332.pdf,1525/7999/DD/22,"Przedsiębiorstwo Energetyki Cieplnej ""Żyrardów"" Spółka z o.o.","Polska, 96-300 Żyrardów, Konarskiego 2d","1.Polska, 96-300 Żyrardów, Konarskiego 2d 2.Polska, 96-300 Żyrardów, Rotmistrza Witolda Pileckiego 82",2022-09-23,2023-09-22,Heat and/or electricity producer,DEKRA Certification Sp. z o. o.,
active,URS 014536/B-0048,http://certyfikaty.kzr.inig.eu/public/certs/3334.pdf,1484/7999/DD/22,Zemědělské družstvo Sever Loukovec,"Czech Republic (Czechia), 29413 Mohelnice nad Jizerou, Chocnějovice","Czech Republic (Czechia), 29413 Mohelnice nad Jizerou, Chocnějovice",2022-09-23,2023-09-22,individual agricultural production and sales with storage; FGP of  other waste/residue with storage; biogas plant; heat and/or electricity producer; place of origin (PoO),United Registrar of Systems Polska Sp. z o.o.,
active,URS 014416/B-0047,http://certyfikaty.kzr.inig.eu/public/certs/3330.pdf,1577/7999/DD/22,MIKROP ČEBÍN a.s.,"Czechy, 66423 Čebín, Čebín 416",N/A,2022-09-22,2023-09-21,FGP of other wate/residue without storage; trading without storage,United Registrar of Systems Polska Sp. z o.o.,
active,KZR INiG CU - 890818,http://certyfikaty.kzr.inig.eu/public/certs/3329.pdf,1672/7999/DD/22,JB TRADE Bogusz Jagodzinski,"1.Polska, 03-964 Warszawa, Stanów Zjednoczonych 20/34 - adres rejestrowy 2.Polska, 02-797 Warszawa, Komisji Edukacji Narodowej 52 / 159 - biuro",N/A,2022-09-21,2023-09-20,trading without storage,Control Union Poland Sp. z o. o.,
active,KZR INiG CU - 839780/4,http://certyfikaty.kzr.inig.eu/public/certs/3369.pdf,826/7999/DD/18,OLEWNIK-EXPO GROUP Sp. z o.o.,"Polska, 09-210 Drobin, Krajkowo 13","1.Polska, 09-210 Drobin, Krajkowo 13; 2. 22-437 Łabunie, Łabuńki Pierwsze 133",2022-09-21,2023-09-20,First  gathering point of crops with storage;Trading with storage,Control Union Poland Sp. z o. o.,
active,TNP KZR INiG/0252/5443/2022,http://certyfikaty.kzr.inig.eu/public/certs/3328.pdf,1597/7999/DD/22,FIRMA USŁUGOWA EKO-KAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,"Polska, 63-440 Raszków, Polna 17","1.Polska, 63-440 Raszków, Polna 17 ;2.Polska, 63-440 Moszczanka, Moszczanka 92A",2022-09-20,2023-09-19,FGP of other waste/residue with storage; trading with storage; solid fuel production (derived from biomass);,TÜV NORD Polska Sp. z o. o.,
active,URS 008213-0026,http://certyfikaty.kzr.inig.eu/public/certs/3327.pdf,1682/7999/DD/22,Marczuk Jan Przedsiębiorstwo Wielobranżowe,"Polska, 68-113 Wrzesiny, Szkolna 32","Polska, 68-113 Wrzesiny, Szkolna 32",2022-09-19,2023-09-18,FGP of crops with and without storage; trading with and without storage,United Registrar of Systems Polska Sp. z o.o.,
